question,subfield,age,name
آیا کودک شما می‌تواند حروف (س، ر، ز، ش، ک) را به‌درستی تلفظ کند؟,زبانی,3,آزمون رشد شناختی ۳ تا ۷ سال
آیا کودک شما می‌تواند عبارت‌های ساده را کامل کند؟,زبانی,,
آیا کودک شما می‌تواند کلماتی چون سبک، سنگین، بزرگ، لاغر، پایین، بالا، خارج و داخل را به‌درستی در مکالماتش استفاده کند؟,زبانی,,
آیا کودک شما می‌تواند پس از شنیدن داستان، آن را بازگو کند؟,زبانی,,
آیا کودک شما می‌تواند به‌درستی قلم را در دست بگیرد؟,زبانی,,
آیا کودک شما می‌تواند با افزایش سنش قطعات بیشتری از پازل یا جورچین‌های پیچیده‌تری را کامل کند؟,حافظه,,
آیا کودک شما توانایی درک و انجام سه دستور متوالی را دارد؟,حافظه,,
آیا کودک شما می‌تواند 6 کلمه را به یاد بسپارد و به ترتیب بازگو کند؟,حافظه,,
آیا کودک شما می‌تواند افراد آشنا را از روی صدایشان تشخیص بدهد؟,حافظه,,
آیا کودک شما می‌تواند اشیاء را بشمارد؟ (میزان شمارش با توجه به افزایش سن),حافظه,,
آیا کودک شما خیال‌پردازی می‌کند و می‌تواند بازی‌های خیالی انجام دهد؟,فکر,,
آیا کودک شما سؤالات زیادی می‌پرسد؟,فکر,,
آیا کودک شما می‌تواند با خمیربازی، گل رس یا لگو چیزهای جدید بسازد؟,فکر,,
آیا کودک شما هنگام بازی با دوستانش محترمانه با آن‌ها برخورد می‌کند؟,فکر,,
آیا کودک شما مفهوم زمان گذشته، حال و آینده را تشخیص می‌دهد؟,فکر,,
آیا کودک شما می‌تواند برای حل مسائل ساده راه‌حلی ارائه دهد؟,حل مسئله,,
آیا کودک شما می‌تواند اشیاء را بر اساس ویژگی مشترکی بین آن‌ها مانند شکل یا کاربردشان طبقه‌بندی کند؟,حل مسئله,,
آیا کودک شما می‌تواند گاهی برای صحبت‌هایش دلیل بیاورد؟,حل مسئله,,
آیا توجه کودک شما روی موضوعی خاص متمرکز می‌شود؟,حل مسئله,,
آیا کودک شما می‌تواند بین راه‌حل‌های مختلف، بهترین را انتخاب نماید؟,حل مسئله,,
