question,subfield,age,name
آیا کودک شما می‌تواند یک یا چند ویژگی خود را بیان کند؟,ارتباط مؤثر,3,آزمون رشد اجتماعی اخلاقی ۳ تا ۷ سال
آیا کودک شما می‌تواند احساسات اولیه (مانند خشم و شادی و...) را در مخاطب خود تشخیص دهد؟,ارتباط مؤثر,,
آیا کودک شما قادر است در یک رابطه دوستانه واردشده و تعامل خوبی داشته باشد؟,ارتباط مؤثر,,
درصورتی‌که از جملات ساده همراه با علائم غیرکلامی مناسب (حرکات چهره، نوع نگاه خاص و...) استفاده شود، آیا کودک شما قادر به درک آن‌ها و ارائه پاسخ مناسب است؟,ارتباط مؤثر,,
آیا کودک شما در تعامل با اطرافیانش، رفتار سازگارانه‌ای دارد؟,ارتباط مؤثر,,
آیا کودک شما می‌داند گاهی خواسته او با خواسته دیگران متفاوت است؟,حل تعارض,,
وقتی کودک شما در رابطه با دیگران دچار تعارض می‌شود، آیا می‌تواند بر هیجاناتش مسلط باشد؟,حل تعارض,,
آیا کودک شما قادر است فعالیتی را با مشارکت کودکان دیگر انجام دهد؟,حل تعارض,,
در صورت بروز خطا، آیا کودک شما می‌تواند خود یا دیگران را ببخشد؟,حل تعارض,,
آیا کودک شما بدون ترس و پنهان‌کاری مسائل خود را مطرح می‌کند؟,حل تعارض,,
آیا کودک شما می‌داند هر کس حریم شخصی دارد؟,رعایت حریم خود و دیگران,,
آیا کودک شما قادر است بعضی آداب اولیه را در روابط اجتماعی رعایت کند؟,رعایت حریم خود و دیگران,,
آیا کودک شما در هنگام رد خواسته‌اش می‌تواند واکنش مناسبی از خود نشان دهد؟,رعایت حریم خود و دیگران,,
آیا کودک شما به تفاوت‌های نقش‌های دختران و پسران توجه می‌کند؟,رعایت حریم خود و دیگران,,
آیا کودک شما می‌تواند رفتار مناسب با جنسیت خود نشان دهد؟,رعایت حریم خود و دیگران,,
آیا کودک شما از بعضی کلمات مؤدبانه در کلام خود استفاده می‌کند؟,مسئولیت‌پذیری اجتماعی,,
آیا کودک شما هنگام بازی یا فعالیت، قوانین مرتبط با آن بازی یا فعالیت را رعایت می‌کند؟,مسئولیت‌پذیری اجتماعی,,
آیا کودک شما می‌تواند درخواستش را خیلی روشن و بدون نگرانی مطرح کند؟,مسئولیت‌پذیری اجتماعی,,
آیا کودک شما در موقعیت‌های چالشی بی‌تاب نمی‌شود و می‌تواند صبوری کند؟,مسئولیت‌پذیری اجتماعی,,
آیا گاهی کودک شما امکانات و وسایل شخصی خود را در اختیار دیگران نیز قرار می‌دهد؟,مسئولیت‌پذیری اجتماعی,,
