question,subfield,age,name
آیا فرزند شما از چالاکی و سرعت لازم برای انجام کارها برخوردار است؟, حرکتی درشت,8,آزمون حرکتی رشدی ۸ تا ۱۱ سال
آیا فرزند شما قادر است طناب‌بازی کند؟, حرکتی درشت,,
آیا فرزند شما می‌تواند در مسابقه با سایر کودکان شرکت کند؟, حرکتی درشت,,
آیا فرزند شما در بازی رقابتی قوانین بازی را رعایت می‌کند؟, حرکتی درشت,,
آیا فرزند شما می‌تواند دوچرخه‌سواری کند؟, حرکتی درشت,,
آیا فرزند شما بدون کمک روی پارچه دوخت و دوز انجام می‌دهد؟,حرکتی ظریف,,
آیا فرزند شما به طراحی و نقاشی تصاویر می‌پردازد؟,حرکتی ظریف,,
آیا فرزند شما در ساخت سازه‌های پیشرفته متنوع با استفاده از لگو و یا ابزار دیگر مهارت دارد؟,حرکتی ظریف,,
آیا فرزند شما از وسایل آزمایشگاهی و کارگاهی به‌خوبی استفاده می‌کند؟,حرکتی ظریف,,
آیا کودک شما می‌تواند زیپ لباس خود را باز و بسته کند؟,حرکتی ظریف,,
آیا فرزند شما می‌تواند به‌تنهایی به حمام رفته و در دستشویی نظافت را رعایت کند؟,خودیاری,,
آیا فرزند شما می‌تواند در تهیه سالاد و بخشی از کارهای مربوط به پختن غذا همراهی کند؟,خودیاری,,
آیا فرزند شما می‌تواند لباس‌ها و وسایل اتاق خود را مرتب می‌کند؟,خودیاری,,
آیا فرزند شما می‌تواند در انجام کار های ساده خانه مانند گردگیری و جاروکشیدن کمک کند؟,خودیاری,,
آیا فرزند شما می‌تواند با لوازم برقی ساده کار کند؟,خودیاری,,
آیا فرزند شما می‌تواند با استفاده از حس چشایی، سلامت غذا را تشخیص دهد؟,رشد حسی,,
آیا فرزند شما با استفاده از حس شنوایی، منبع تولید صدا و میزان فاصله با آن را تشخیص می‌دهد؟,رشد حسی,,
آیا فرزند شما با حس بینایی‌اش می‌تواند موقعیت مکانی خود را نسبت به محیط اطرافش درک کند؟,رشد حسی,,
آیا فرزند شما با استفاده از حس لامسه ویژگی‌های اشیا اطراف خود را تشخیص می‌دهد؟,رشد حسی,,
آیا فرزند شما تفاوت بین بوهای مختلف مانند تلخ، شیرین، گرم و خنک را می‌شناسد؟,رشد حسی,,
